rebalance_month,symbol,rank,adv_usd,n_days_trailing
2017-04,HD,30,682521134.22,253
2017-04,CMCSA,31,679941977.65,253
2017-04,MRK,32,676961390.38,253
2017-04,WMT,33,675561953.02,253
2017-04,BMY,34,671367301.8,253
2017-04,QCOM,35,653708347.84,253
2017-04,IBM,36,647191816.8,253
2017-04,CHTR,37,633862004.99,253
2017-04,KO,38,627263033.23,253
2017-04,MCD,39,620720447.16,253
2017-04,BRK.B,40,609826886.53,253
2017-04,AMGN,41,601112148.06,253
2017-04,CVS,42,585029289.26,253
2017-04,BA,43,575994383.38,253
2017-04,NKE,44,569513293.97,253
2017-04,UNH,45,568710863.43,253
2017-04,ORCL,46,567389690.22,253
2017-04,BHC,47,553781150.08,253
2017-04,SBUX,48,548748045.5,253
2017-04,SLB,49,539407596.91,253
2017-04,BIIB,50,536832840.37,253
2017-04,CELG,51,524521276.83,253
2017-04,ABBV,52,514696028.76,253
2017-04,AVGO,53,505512321.7,253
2017-04,PEP,54,505298565.94,253
2017-04,LMT,55,502724308.1,253
2017-04,PM,56,502071288.54,253
2017-04,MU,57,496680231.8,253
2017-04,BIDU,58,494260642.53,253
2017-04,GM,59,488830585.9,253
2017-04,F,60,471354171.3,253
2017-04,MS,61,463335603.78,253
2017-04,MO,62,459314968.58,253
2017-04,CMG,63,458632158.58,253
2017-04,MDT,64,457796804.53,253
2017-04,CAT,65,453996902.84,253
2017-04,TGT,66,453672660.15,253
2017-04,DAL,67,445832425.8,253
2017-04,HAL,68,445654383.38,253
2017-04,CRM,69,441700693.11,253
2017-04,LOW,70,438864702.57,253
2017-04,FCX,71,437210917.62,253
2017-04,UNP,72,418083017.13,253
2017-04,AMD,73,416740226.55,253
2017-04,AIG,74,414884491.31,253
2017-04,ABT,75,411918339.44,253
2017-04,COST,76,405889755.71,253
2017-04,MA,77,401536524.88,253
2017-04,RTX,78,396883408.2,253
2017-04,TXN,79,393862748.78,253
2017-04,MDLZ,80,392999116.8,253
2017-04,NXPI,81,387106048.31,253
